date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
01/07/2026,"Finisher","AMRAP x 6 mins6/6 KB Bent Over Gorilla Row (44/35)6 Over Head Squat (45/35)",6.012,"6+12","Rounds + Reps","","[{""rnds"":6,""reps"":12}]","26lb",SCALED,
01/07/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
01/08/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",555,"9:15","","","[{""secs"":15,""mins"":9}]","",RX,
01/10/2026,"Class Times","Reminder...Please sign up at least **2 hour** before class starts If no one is signed up the coach will not be there.7:00 am Weightlifting9:00 am Group Class",540,"9:00","","","[{""secs"":0,""mins"":9}]","",RX,
01/10/2026,"KALSU","For Time• 100 Thrusters (135/95 lb)• 5 Burpees to start and at the top of every minuteStart with 5 burpees. Then complete as many thrusters as possible until the minute is up. At the top of the minute (1:00) complete another 5 burpees. Repeat each minute until 100 total thrusters are completed.Score is the total time it takes to complete all 100 thrusters.",1551,"25:51","","","[{""secs"":51,""mins"":25}]","55lbOnly did 25 burpeesI hate whoever added burpees ",SCALED,PR
01/12/2026,"Bench Press 3x5","Bench Press for load: 60%-80% #1: 5 reps #2: 5 reps #3: 5 reps  Superset: 1 min Hollow Hold:30 Max Cal Sprint 2 REST",95,"95","Load","Bench Press","[{""load"":95,""success"":true},{""load"":95,""success"":true},{""load"":95,""success"":true}]","",SCALED,PR
01/12/2026,"Good Morning 5x3","Good Morning for load: (20 Mins to complete) #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps #5: 3 reps  Superset: 4 sets only :15 2 KB Waiter hold 1:30 second Rest after superset  Please read notes. Click prepare and read athletes notes:",85,"85","Load","Good Morning","[{""load"":55,""success"":true},{""load"":75,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true}]","",SCALED,PR
01/12/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
01/15/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",330,"5:30","","","[{""secs"":30,""mins"":5}]","",RX,
01/15/2026,"Overhead Squat 3x3","Overhead Squat for load: (Coming from the ground) #1: 3 reps #2: 3 reps #3: 3 reps  Accessory work to help support the Snatch work",55,"55","Load","Overhead Squat","[{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true}]","",SCALED,PR
01/17/2026,"Back Squat 5x5","Back Squat for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps #5: 5 reps",145,"145","Load","Back Squat","[{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":145,""success"":true},{""load"":145,""success"":true}]","",RX,PR
01/17/2026,"Class Times","Reminder...Please sign up at least **2 hour** before class starts If no one is signed up the coach will not be there.7:00 am Weightlifting9:00 am Group Class",420,"7:00","","","[{""secs"":0,""mins"":7}]","",RX,
01/17/2026,"Overhead Squat 5x5","Overhead Squat for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps #5: 5 reps",65,"65","Load","Overhead Squat","[{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":45,""success"":true},{""load"":45,""success"":true},{""load"":45,""success"":true}]","",RX,
01/17/2026,"Power Snatch 8x2","Power Snatch for load: #1: 2 reps #2: 2 reps #3: 2 reps #4: 2 reps #5: 2 reps #6: 2 reps #7: 2 reps #8: 2 reps",55,"55","Load","Power Snatch","[{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true}]","",RX,PR
01/17/2026,"Sots Press 5x5","Sots Press for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps #5: 5 reps",35,"35","Load","Sots Press","[{""load"":35,""success"":true},{""load"":35,""success"":true},{""load"":35,""success"":true},{""load"":35,""success"":true},{""load"":35,""success"":true}]","",RX,PR
01/19/2026,"Brown Sugar","400m + Squat400m Bike or Row (alt. each set)Back Squat (135/95lb)20-19-18-17-16-15-14-13-12-11-10-9-8-7-6-5-4-3-2-1",3100,"51:40","","","[{""secs"":40,""mins"":51}]","75lb squats250m row  x 19250m bike x 1",SCALED,
01/19/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank youMLK DAY8:00 am9:15 am",555,"9:15","","","[{""secs"":15,""mins"":9}]","",RX,
02/16/2026,"Check your Shoulders!!!","For Time10 Power Clean (135/95)5 Devils press (50/35)40 Push Jerks (135/95)5 Devils press40 Toes To Bar5 Devils Press25 min Time Cap",858,"14:18","","","[{""secs"":18,""mins"":14}]","",SCALED,
02/16/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
02/19/2026,"Deadlift 6-5-4-3-2-1","Deadlift for load: #1: 6 reps @ 70% #2: 5 reps @ 75% #3: 4 reps @ 80% #4: 3 reps @ 85% #5: 2 reps @ 90% #6: 1 rep @ 95%",185,"185","Load","Deadlift","[{""load"":155,""success"":true},{""load"":165,""success"":true},{""load"":175,""success"":true},{""load"":185,""success"":true}]","",SCALED,PR
02/19/2026,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
02/19/2026,"Bench Press 4x6","Bench Press for load: #1: 6 reps #2: 6 reps #3: 6 reps #4: 6 reps",105,"105","Load","Bench Press","[{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":105,""success"":true}]","Failed at 4 reps ins Set 3,4",RX,
